
Final Points
6.446975e+00 3.183393e+00
6.147520e+00 1.234388e+01
6.924263e+00 1.334559e+01
5.802328e+00 1.053121e+01
3.243095e+00 4.016863e+00
7.176583e+00 5.228688e+00
1.326600e+00 6.063878e+00
2.493168e+00 6.777212e+00
3.865493e+00 7.899676e+00
6.513493e+00 1.230478e+01
6.813094e-01 2.099281e+01
1.154844e+00 6.120628e+00
2.461654e+00 3.593599e+00
6.169197e+00 1.237007e+01
6.743263e+00 1.260794e+01
8.397159e+00 4.959058e+00
4.460434e+00 9.849242e+00
5.878054e+00 3.731489e+00
8.124103e+00 4.748207e+00
5.903614e+00 3.662557e+00
1.431918e-01 1.755705e+01
1.452936e+00 2.069697e+01
2.649429e+00 3.434916e+00
3.601288e-01 1.629329e+01
2.684708e+00 3.354372e+00
6.536320e+00 1.319043e+01
5.981105e+00 1.227850e+01
2.932948e+00 7.769178e+00
3.678144e+00 8.713616e+00
6.241126e+00 1.218215e+01
6.656871e+00 1.320012e+01
3.109227e+00 3.648530e+00
1.946124e+00 3.528078e+00
4.107821e+00 8.861474e+00
2.835233e+00 3.667306e+00
7.236022e+00 5.726269e+00
7.061634e+00 1.292329e+01
1.996231e-01 1.745494e+01
3.039687e-01 1.670197e+01
3.226838e+00 8.312273e+00
6.645956e+00 1.231604e+01
1.983564e+00 6.861342e+00
1.354493e+00 2.141509e+01
5.958674e+00 3.950708e+00
3.626666e-02 1.700495e+01
5.671109e+00 1.028418e+01
1.171509e+00 2.001701e+01
4.839790e+00 1.086058e+01
2.799063e+00 8.041702e+00
3.461879e+00 8.027987e+00
2.925074e+00 8.513206e+00
3.335101e+00 8.090201e+00
6.081599e+00 3.977244e+00
3.221315e+00 8.789755e+00
8.137223e+00 4.414569e+00
8.012987e-01 6.165076e+00
1.623163e-01 6.668763e+00
7.888821e-01 1.655309e+01
9.805190e-01 1.671695e+01
1.321021e+00 1.679830e+01
5.254820e+00 4.100963e+00
5.257248e+00 9.883275e+00
5.933611e+00 2.724840e+00
5.418202e+00 2.971920e+00
3.002586e+00 8.316859e+00
1.397817e+00 1.678468e+01
2.608132e+00 3.136438e+00
3.464649e+00 8.572005e+00
5.400012e+00 3.154535e+00
6.041125e-01 1.723396e+01
5.540828e-01 6.242191e+00
4.606146e+00 1.070140e+01
2.015237e+00 3.890114e+00
1.576687e+00 6.306734e+00
1.459424e+00 2.112830e+01
4.321193e-01 1.672986e+01
5.477139e+00 2.881813e+00
8.822719e-01 1.609194e+01
7.151800e+00 4.929687e+00
3.902586e-01 2.002092e+01
8.036168e+00 5.078197e+00
6.112751e+00 1.228976e+01
3.117245e-01 1.664504e+01
3.079147e+00 8.453202e+00
2.234731e+00 5.828786e+00
2.811639e+00 8.197370e+00
3.337466e+00 8.343684e+00
5.963674e+00 1.223078e+01
1.285532e+00 1.692735e+01
3.358488e+00 8.692869e+00
8.111615e+00 5.043519e+00
9.983015e-01 2.069181e+01
5.243167e+00 1.061622e+01
6.913643e+00 1.273968e+01
1.496158e+00 2.088674e+01
6.431464e+00 3.952996e+00
7.778263e+00 4.625848e+00
5.165702e+00 1.058867e+01
1.202183e+00 6.753662e+00
3.088987e+00 3.490281e+00
